Team_1,Team_2,Winner,Margin,Ground,Match Date,Match_id
England,West Indies,England,9 wickets,Southampton,"Sep 29, 2017",ODI # 3918
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",ODI # 3919
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,"Oct 6, 2017",ODI # 3920
P.N.G.,Scotland,P.N.G.,5 wickets,Port Moresby,"Oct 8, 2017",ODI # 3921
Pakistan,Sri Lanka,Pakistan,83 runs,Dubai (DSC),"Oct 13, 2017",ODI # 3922
South Africa,Bangladesh,South Africa,10 wickets,Kimberley,"Oct 15, 2017",ODI # 3923
Pakistan,Sri Lanka,Pakistan,32 runs,Abu Dhabi,"Oct 16, 2017",ODI # 3924
South Africa,Bangladesh,South Africa,104 runs,Paarl,"Oct 18, 2017",ODI # 3925
Pakistan,Sri Lanka,Pakistan,7 wickets,Abu Dhabi,"Oct 18, 2017",ODI # 3926
Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Oct 20, 2017",ODI # 3927
India,New Zealand,New Zealand,6 wickets,Wankhede,"Oct 22, 2017",ODI # 3928
South Africa,Bangladesh,South Africa,200 runs,East London,"Oct 22, 2017",ODI # 3929
Pakistan,Sri Lanka,Pakistan,9 wickets,Sharjah,"Oct 23, 2017",ODI # 3930
India,New Zealand,India,6 wickets,Pune,"Oct 25, 2017",ODI # 3931
India,New Zealand,India,6 runs,Kanpur,"Oct 29, 2017",ODI # 3932
P.N.G.,Scotland,Scotland,6 wickets,Dubai (DSC),"Nov 24, 2017",ODI # 3933
P.N.G.,Scotland,Scotland,4 wickets,Dubai (DSC),"Nov 25, 2017",ODI # 3934
Afghanistan,Ireland,Afghanistan,138 runs,Sharjah,"Dec 5, 2017",ODI # 3935
Hong Kong,P.N.G.,Hong Kong,23 runs,ICCA Dubai,"Dec 6, 2017",ODI # 3936
Afghanistan,Ireland,Ireland,51 runs,Sharjah,"Dec 7, 2017",ODI # 3937
Hong Kong,P.N.G.,Hong Kong,93 runs,ICCA Dubai,"Dec 8, 2017",ODI # 3938
India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,"Dec 10, 2017",ODI # 3939
Afghanistan,Ireland,Ireland,5 wickets,Sharjah,"Dec 10, 2017",ODI # 3940
India,Sri Lanka,India,141 runs,Mohali,"Dec 13, 2017",ODI # 3941
India,Sri Lanka,India,8 wickets,Visakhapatnam,"Dec 17, 2017",ODI # 3942
New Zealand,West Indies,New Zealand,5 wickets,Whangarei,"Dec 20, 2017",ODI # 3943
New Zealand,West Indies,New Zealand,204 runs,Christchurch,"Dec 23, 2017",ODI # 3944
New Zealand,West Indies,New Zealand,66 runs,Christchurch,"Dec 26, 2017",ODI # 3945
New Zealand,Pakistan,New Zealand,61 runs,Wellington,"Jan 6, 2018",ODI # 3946
New Zealand,Pakistan,New Zealand,8 wickets,Nelson,"Jan 9, 2018",ODI # 3947
U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,"Jan 11, 2018",ODI # 3948
New Zealand,Pakistan,New Zealand,183 runs,Dunedin,"Jan 13, 2018",ODI # 3949
U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,"Jan 13, 2018",ODI # 3950
Australia,England,England,5 wickets,Melbourne,"Jan 14, 2018",ODI # 3951
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,"Jan 15, 2018",ODI # 3952
New Zealand,Pakistan,New Zealand,5 wickets,Hamilton,"Jan 16, 2018",ODI # 3953
Ireland,Scotland,Ireland,6 wickets,ICCA Dubai,"Jan 16, 2018",ODI # 3954
Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Mirpur,"Jan 17, 2018",ODI # 3955
Ireland,Scotland,Ireland,24 runs,ICCA Dubai,"Jan 18, 2018",ODI # 3956
New Zealand,Pakistan,New Zealand,15 runs,Wellington,"Jan 19, 2018",ODI # 3957
Australia,England,England,4 wickets,Brisbane,"Jan 19, 2018",ODI # 3958
Bangladesh,Sri Lanka,Bangladesh,163 runs,Mirpur,"Jan 19, 2018",ODI # 3959
Australia,England,England,16 runs,Sydney,"Jan 21, 2018",ODI # 3960
U.A.E.,Scotland,Scotland,31 runs,ICCA Dubai,"Jan 21, 2018",ODI # 3961
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Mirpur,"Jan 21, 2018",ODI # 3962
U.A.E.,Scotland,U.A.E.,4 wickets,ICCA Dubai,"Jan 23, 2018",ODI # 3963
Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,"Jan 23, 2018",ODI # 3964
Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,"Jan 25, 2018",ODI # 3965
Australia,England,Australia,3 wickets,Adelaide,"Jan 26, 2018",ODI # 3966
Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,"Jan 27, 2018",ODI # 3967
Australia,England,England,12 runs,Perth,"Jan 28, 2018",ODI # 3968
South Africa,India,India,6 wickets,Durban,"Feb 1, 2018",ODI # 3969
South Africa,India,India,9 wickets,Centurion,"Feb 4, 2018",ODI # 3970
South Africa,India,India,124 runs,Cape Town,"Feb 7, 2018",ODI # 3971
Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah,"Feb 9, 2018",ODI # 3972
South Africa,India,South Africa,5 wickets,Johannesburg,"Feb 10, 2018",ODI # 3973
Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah,"Feb 11, 2018",ODI # 3974
Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah,"Feb 13, 2018",ODI # 3975
South Africa,India,India,73 runs,Gqeberha,"Feb 13, 2018",ODI # 3976
Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah,"Feb 16, 2018",ODI # 3977
South Africa,India,India,8 wickets,Centurion,"Feb 16, 2018",ODI # 3978
Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah,"Feb 19, 2018",ODI # 3979
New Zealand,England,New Zealand,3 wickets,Hamilton,"Feb 25, 2018",ODI # 3980
New Zealand,England,England,6 wickets,Mount Maunganui,"Feb 28, 2018",ODI # 3981
New Zealand,England,England,4 runs,Wellington,"Mar 3, 2018",ODI # 3982
Afghanistan,Scotland,Scotland,7 wickets,Bulawayo,"Mar 4, 2018",ODI # 3983
P.N.G.,U.A.E.,U.A.E.,56 runs,Harare,"Mar 4, 2018",ODI # 3984
Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,"Mar 6, 2018",ODI # 3985
Ireland,P.N.G.,Ireland,4 wickets,Harare,"Mar 6, 2018",ODI # 3986
U.A.E.,West Indies,West Indies,60 runs,Harare,"Mar 6, 2018",ODI # 3987
Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo,"Mar 6, 2018",ODI # 3988
New Zealand,England,New Zealand,5 wickets,Dunedin,"Mar 7, 2018",ODI # 3989
Afghanistan,Hong Kong,Hong Kong,30 runs,Bulawayo,"Mar 8, 2018",ODI # 3990
P.N.G.,West Indies,West Indies,6 wickets,Harare,"Mar 8, 2018",ODI # 3991
New Zealand,England,England,7 wickets,Christchurch,"Mar 10, 2018",ODI # 3992
Ireland,West Indies,West Indies,52 runs,Harare,"Mar 10, 2018",ODI # 3993
Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo,"Mar 10, 2018",ODI # 3994
Ireland,U.A.E.,Ireland,226 runs,Harare,"Mar 12, 2018",ODI # 3995
Zimbabwe,Scotland,tied,,Bulawayo,"Mar 12, 2018",ODI # 3996
Afghanistan,West Indies,Afghanistan,3 wickets,Harare,"Mar 15, 2018",ODI # 3997
Scotland,U.A.E.,Scotland,73 runs,Bulawayo,"Mar 15, 2018",ODI # 3998
Zimbabwe,Ireland,Zimbabwe,107 runs,Harare,"Mar 16, 2018",ODI # 3999
Hong Kong,P.N.G.,P.N.G.,58 runs,Harare,"Mar 17, 2018",ODI # 4000
Ireland,Scotland,Ireland,25 runs,Harare,"Mar 18, 2018",ODI # 4001
Zimbabwe,West Indies,West Indies,4 wickets,Harare,"Mar 19, 2018",ODI # 4002
Afghanistan,U.A.E.,Afghanistan,5 wickets,Harare,"Mar 20, 2018",ODI # 4003
Scotland,West Indies,West Indies,5 runs,Harare,"Mar 21, 2018",ODI # 4004
Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,"Mar 22, 2018",ODI # 4005
Afghanistan,Ireland,Afghanistan,5 wickets,Harare,"Mar 23, 2018",ODI # 4006
Afghanistan,West Indies,Afghanistan,7 wickets,Harare,"Mar 25, 2018",ODI # 4007
Scotland,England,Scotland,6 runs,Edinburgh,"Jun 10, 2018",ODI # 4008
England,Australia,England,3 wickets,The Oval,"Jun 13, 2018",ODI # 4009
England,Australia,England,38 runs,Cardiff,"Jun 16, 2018",ODI # 4010
England,Australia,England,242 runs,Nottingham,"Jun 19, 2018",ODI # 4011
England,Australia,England,6 wickets,Chester-le-Street,"Jun 21, 2018",ODI # 4012
England,Australia,England,1 wicket,Manchester,"Jun 24, 2018",ODI # 4013
England,India,India,8 wickets,Nottingham,"Jul 12, 2018",ODI # 4014
Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,"Jul 13, 2018",ODI # 4015
England,India,England,86 runs,Lord's,"Jul 14, 2018",ODI # 4016
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,"Jul 16, 2018",ODI # 4017
England,India,England,8 wickets,Leeds,"Jul 17, 2018",ODI # 4018
Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,"Jul 18, 2018",ODI # 4019
Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo,"Jul 20, 2018",ODI # 4020
Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo,"Jul 22, 2018",ODI # 4021
West Indies,Bangladesh,Bangladesh,48 runs,Providence,"Jul 22, 2018",ODI # 4022
West Indies,Bangladesh,West Indies,3 runs,Providence,"Jul 25, 2018",ODI # 4023
West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,"Jul 28, 2018",ODI # 4024
Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,"Jul 29, 2018",ODI # 4025
Netherlands,Nepal,Netherlands,55 runs,Amstelveen,"Aug 1, 2018",ODI # 4026
Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,"Aug 1, 2018",ODI # 4027
Netherlands,Nepal,Nepal,1 run,Amstelveen,"Aug 3, 2018",ODI # 4028
Sri Lanka,South Africa,South Africa,78 runs,Pallekele,"Aug 5, 2018",ODI # 4029
Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,"Aug 8, 2018",ODI # 4030
Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS),"Aug 12, 2018",ODI # 4031
Ireland,Afghanistan,Afghanistan,29 runs,Belfast,"Aug 27, 2018",ODI # 4032
Ireland,Afghanistan,Ireland,3 wickets,Belfast,"Aug 29, 2018",ODI # 4033
Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,"Aug 30, 2018",ODI # 4034
Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,"Aug 31, 2018",ODI # 4035
Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),"Sep 15, 2018",ODI # 4036
Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),"Sep 16, 2018",ODI # 4037
Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,"Sep 17, 2018",ODI # 4038
Hong Kong,India,India,26 runs,Dubai (DSC),"Sep 18, 2018",ODI # 4039
India,Pakistan,India,8 wickets,Dubai (DSC),"Sep 19, 2018",ODI # 4040
Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,"Sep 20, 2018",ODI # 4041
Bangladesh,India,India,7 wickets,Dubai (DSC),"Sep 21, 2018",ODI # 4042
Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,"Sep 21, 2018",ODI # 4043
India,Pakistan,India,9 wickets,Dubai (DSC),"Sep 23, 2018",ODI # 4044
Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,"Sep 23, 2018",ODI # 4045
Afghanistan,India,tied,,Dubai (DSC),"Sep 25, 2018",ODI # 4046
Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,"Sep 26, 2018",ODI # 4047
Bangladesh,India,India,3 wickets,Dubai (DSC),"Sep 28, 2018",ODI # 4048
South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,"Sep 30, 2018",ODI # 4049
South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,"Oct 3, 2018",ODI # 4050
South Africa,Zimbabwe,South Africa,4 wickets,Paarl,"Oct 6, 2018",ODI # 4051
Sri Lanka,England,no result,,Dambulla,"Oct 10, 2018",ODI # 4052
Sri Lanka,England,England,31 runs,Dambulla,"Oct 13, 2018",ODI # 4053
Sri Lanka,England,England,7 wickets,Pallekele,"Oct 17, 2018",ODI # 4054
Sri Lanka,England,England,18 runs,Pallekele,"Oct 20, 2018",ODI # 4055
India,West Indies,India,8 wickets,Guwahati,"Oct 21, 2018",ODI # 4056
Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,"Oct 21, 2018",ODI # 4057
Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),"Oct 23, 2018",ODI # 4058
India,West Indies,tied,,Visakhapatnam,"Oct 24, 2018",ODI # 4059
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 24, 2018",ODI # 4060
Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 26, 2018",ODI # 4061
India,West Indies,West Indies,43 runs,Pune,"Oct 27, 2018",ODI # 4062
India,West Indies,India,224 runs,Brabourne,"Oct 29, 2018",ODI # 4063
India,West Indies,India,9 wickets,Thiruvananthapuram,"Nov 1, 2018",ODI # 4064
Australia,South Africa,South Africa,6 wickets,Perth,"Nov 4, 2018",ODI # 4065
New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,"Nov 7, 2018",ODI # 4066
Australia,South Africa,Australia,7 runs,Adelaide,"Nov 9, 2018",ODI # 4067
New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 9, 2018",ODI # 4068
Australia,South Africa,South Africa,40 runs,Hobart,"Nov 11, 2018",ODI # 4069
New Zealand,Pakistan,no result,,Dubai (DSC),"Nov 11, 2018",ODI # 4070
Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,"Dec 9, 2018",ODI # 4071
Bangladesh,West Indies,West Indies,4 wickets,Mirpur,"Dec 11, 2018",ODI # 4072
Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,"Dec 14, 2018",ODI # 4073
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,"Jan 3, 2019",ODI # 4074
New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,"Jan 5, 2019",ODI # 4075
New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,"Jan 8, 2019",ODI # 4076
Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",ODI # 4077
Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078
Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079
South Africa,Pakistan,Pakistan,5 wickets,Gqeberha,"Jan 19, 2019",ODI # 4080
South Africa,Pakistan,South Africa,5 wickets,Durban,"Jan 22, 2019",ODI # 4081
New Zealand,India,India,8 wickets,Napier,"Jan 23, 2019",ODI # 4082
U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,"Jan 25, 2019",ODI # 4083
South Africa,Pakistan,South Africa,13 runs,Centurion,"Jan 25, 2019",ODI # 4084
New Zealand,India,India,90 runs,Mount Maunganui,"Jan 26, 2019",ODI # 4085
U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,"Jan 26, 2019",ODI # 4086
South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,"Jan 27, 2019",ODI # 4087
New Zealand,India,India,7 wickets,Mount Maunganui,"Jan 28, 2019",ODI # 4088
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,"Jan 28, 2019",ODI # 4089
South Africa,Pakistan,South Africa,7 wickets,Cape Town,"Jan 30, 2019",ODI # 4090
New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019",ODI # 4091
New Zealand,India,India,35 runs,Wellington,"Feb 3, 2019",ODI # 4092
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,"Feb 13, 2019",ODI # 4093
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,"Feb 16, 2019",ODI # 4094
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,"Feb 20, 2019",ODI # 4095
West Indies,England,England,6 wickets,Bridgetown,"Feb 20, 2019",ODI # 4096
West Indies,England,West Indies,26 runs,Bridgetown,"Feb 22, 2019",ODI # 4097
West Indies,England,no result,,St George's,"Feb 25, 2019",ODI # 4098
West Indies,England,England,29 runs,St George's,"Feb 27, 2019",ODI # 4099
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,"Feb 28, 2019",ODI # 4100
Afghanistan,Ireland,no result,,Dehradun,"Mar 2, 2019",ODI # 4101
India,Australia,India,6 wickets,Hyderabad,"Mar 2, 2019",ODI # 4102
West Indies,England,West Indies,7 wickets,Gros Islet,"Mar 2, 2019",ODI # 4103
South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,"Mar 3, 2019",ODI # 4104
Afghanistan,Ireland,Ireland,4 wickets,Dehradun,"Mar 5, 2019",ODI # 4105
India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106
South Africa,Sri Lanka,South Africa,113 runs,Centurion,"Mar 6, 2019",ODI # 4107
Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,"Mar 8, 2019",ODI # 4108
India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",ODI # 4109
Afghanistan,Ireland,Ireland,5 wickets,Dehradun,"Mar 10, 2019",ODI # 4110
India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",ODI # 4111
South Africa,Sri Lanka,South Africa,71 runs,Durban,"Mar 10, 2019",ODI # 4112
India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",ODI # 4113
South Africa,Sri Lanka,South Africa,6 wickets,Gqeberha,"Mar 13, 2019",ODI # 4114
South Africa,Sri Lanka,South Africa,41 runs,Cape Town,"Mar 16, 2019",ODI # 4115
Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 22, 2019",ODI # 4116
Australia,Pakistan,Australia,8 wickets,Sharjah,"Mar 24, 2019",ODI # 4117
Australia,Pakistan,Australia,80 runs,Abu Dhabi,"Mar 27, 2019",ODI # 4118
Australia,Pakistan,Australia,6 runs,Dubai (DSC),"Mar 29, 2019",ODI # 4119
Australia,Pakistan,Australia,20 runs,Dubai (DSC),"Mar 31, 2019",ODI # 4120
Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,"Apr 10, 2019",ODI # 4121
Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,"Apr 12, 2019",ODI # 4122
Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,"Apr 14, 2019",ODI # 4123
Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,"Apr 16, 2019",ODI # 4124
Namibia,Oman,Namibia,145 runs,Windhoek,"Apr 27, 2019",ODI # 4125
P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,"Apr 27, 2019",ODI # 4126
Ireland,England,England,4 wickets,Dublin (Malahide),"May 3, 2019",ODI # 4127
Ireland,West Indies,West Indies,196 runs,Dublin,"May 5, 2019",ODI # 4128
Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,"May 7, 2019",ODI # 4129
England,Pakistan,no result,,The Oval,"May 8, 2019",ODI # 4130
Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,"May 10, 2019",ODI # 4131
Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),"May 11, 2019",ODI # 4132
England,Pakistan,England,12 runs,Southampton,"May 11, 2019",ODI # 4133
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 13, 2019",ODI # 4134
England,Pakistan,England,6 wickets,Bristol,"May 14, 2019",ODI # 4135
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,"May 15, 2019",ODI # 4136
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),"May 17, 2019",ODI # 4137
England,Pakistan,England,3 wickets,Nottingham,"May 17, 2019",ODI # 4138
Ireland,Afghanistan,Ireland,72 runs,Belfast,"May 19, 2019",ODI # 4139
England,Pakistan,England,54 runs,Leeds,"May 19, 2019",ODI # 4140
Ireland,Afghanistan,Afghanistan,126 runs,Belfast,"May 21, 2019",ODI # 4141
Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,"May 21, 2019",ODI # 4142
England,South Africa,England,104 runs,The Oval,"May 30, 2019",ODI # 4143
Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019",ODI # 4144
New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019",ODI # 4145
Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019",ODI # 4147
England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019",ODI # 4148
Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019",ODI # 4149
India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019",ODI # 4151
Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019",ODI # 4153
Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,"Jun 8, 2019",ODI # 4154
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
South Africa,West Indies,no result,,Southampton,"Jun 10, 2019",ODI # 4156
Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019",ODI # 4157
England,West Indies,England,8 wickets,Southampton,"Jun 14, 2019",ODI # 4158
Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019",ODI # 4159
Afghanistan,South Africa,South Africa,9 wickets,Cardiff,"Jun 15, 2019",ODI # 4160
India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019",ODI # 4162
England,Afghanistan,England,150 runs,Manchester,"Jun 18, 2019",ODI # 4163
Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,"Jun 19, 2019",ODI # 4164
New Zealand,South Africa,New Zealand,4 wickets,Birmingham,"Jun 19, 2019",ODI # 4165
Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019",ODI # 4166
Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,"Jun 21, 2019",ODI # 4167
England,Sri Lanka,Sri Lanka,20 runs,Leeds,"Jun 21, 2019",ODI # 4168
Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019",ODI # 4169
New Zealand,West Indies,New Zealand,5 runs,Manchester,"Jun 22, 2019",ODI # 4170
Pakistan,South Africa,Pakistan,49 runs,Lord's,"Jun 23, 2019",ODI # 4171
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019",ODI # 4172
England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019",ODI # 4173
New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,"Jun 26, 2019",ODI # 4174
India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",ODI # 4175
South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,"Jun 28, 2019",ODI # 4176
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019",ODI # 4177
Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019",ODI # 4178
England,India,England,31 runs,Birmingham,"Jun 30, 2019",ODI # 4179
Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,"Jul 1, 2019",ODI # 4180
Ireland,Zimbabwe,Ireland,4 wickets,Bready,"Jul 1, 2019",ODI # 4181
Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019",ODI # 4182
England,New Zealand,England,119 runs,Chester-le-Street,"Jul 3, 2019",ODI # 4183
Afghanistan,West Indies,West Indies,23 runs,Leeds,"Jul 4, 2019",ODI # 4184
Ireland,Zimbabwe,Ireland,5 runs,Belfast,"Jul 4, 2019",ODI # 4185
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019",ODI # 4186
India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019",ODI # 4187
Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019",ODI # 4188
Ireland,Zimbabwe,Ireland,6 wickets,Belfast,"Jul 7, 2019",ODI # 4189
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190
England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019",ODI # 4191
England,New Zealand,tied,,Lord's,"Jul 14, 2019",ODI # 4192
Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),"Jul 26, 2019",ODI # 4193
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),"Jul 28, 2019",ODI # 4194
Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),"Jul 31, 2019",ODI # 4195
West Indies,India,no result,,Providence,"Aug 8, 2019",ODI # 4196
West Indies,India,India,59 runs,Port of Spain,"Aug 11, 2019",ODI # 4197
Oman,P.N.G.,Oman,4 wickets,Aberdeen,"Aug 14, 2019",ODI # 4198
West Indies,India,India,6 wickets,Port of Spain,"Aug 14, 2019",ODI # 4199
Scotland,Oman,Oman,8 wickets,Aberdeen,"Aug 15, 2019",ODI # 4200
Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,"Aug 17, 2019",ODI # 4201
Scotland,Oman,Scotland,85 runs,Aberdeen,"Aug 18, 2019",ODI # 4202
Scotland,P.N.G.,Scotland,38 runs,Aberdeen,"Aug 20, 2019",ODI # 4203
Oman,P.N.G.,Oman,4 wickets,Aberdeen,"Aug 21, 2019",ODI # 4204
U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,"Sep 13, 2019",ODI # 4205
U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,"Sep 17, 2019",ODI # 4206
U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,"Sep 19, 2019",ODI # 4207
U.S.A.,Namibia,Namibia,139 runs,Lauderhill,"Sep 20, 2019",ODI # 4208
Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,"Sep 22, 2019",ODI # 4209
Namibia,P.N.G.,Namibia,27 runs,Lauderhill,"Sep 23, 2019",ODI # 4210
Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,"Sep 30, 2019",ODI # 4211
Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,"Oct 2, 2019",ODI # 4212
Afghanistan,West Indies,West Indies,7 wickets,Lucknow,"Nov 6, 2019",ODI # 4213
Afghanistan,West Indies,West Indies,47 runs,Lucknow,"Nov 9, 2019",ODI # 4214
Afghanistan,West Indies,West Indies,5 wickets,Lucknow,"Nov 11, 2019",ODI # 4215
U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,"Dec 8, 2019",ODI # 4216
Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,"Dec 9, 2019",ODI # 4217
U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,"Dec 12, 2019",ODI # 4218
